Time,Signal,BPM,Emotion
17:47:53,0,0,0.0
17:47:54,0,0,0.0
17:47:55,495,41,0.0
17:47:56,500,78,0.0
17:47:57,485,79,0.0
17:47:58,498,80,0.0
17:47:59,518,81,0.0
17:48:0,502,81,0.0
17:48:1,497,81,0.0
17:48:2,522,80,0.0
17:48:3,503,80,0.0
17:48:4,503,78,0.0
17:48:5,508,76,0.0
17:48:6,498,74,0.0
17:48:7,498,72,0.0
17:48:8,504,71,0.0
17:48:9,591,70,0.0
17:48:10,536,69,0.0
17:48:11,478,68,0.0
17:48:12,489,67,0.0
17:48:13,517,67,0.0
17:48:14,492,67,0.0
17:48:15,494,67,0.0
17:48:16,498,67,0.0
17:48:17,498,66,0.0
17:48:18,574,66,0.0
17:48:19,475,67,0.0
17:48:20,499,68,0.0
17:48:21,491,68,0.0
17:48:22,487,68,0.0
17:48:23,496,67,36.666666666666664
17:48:24,591,69,33.33333333333333
17:48:25,502,71,33.33333333333333
17:48:26,493,72,30.0
17:48:27,583,73,30.0
17:48:28,487,73,33.33333333333333
17:48:29,504,74,33.33333333333333
17:48:30,494,75,33.33333333333333
17:48:31,497,75,30.0
17:48:32,518,75,30.0
17:48:33,595,72,30.0
17:48:34,589,70,30.0
17:48:35,535,68,30.0
17:48:36,469,67,30.0
17:48:37,488,66,26.666666666666668
17:48:38,514,66,26.666666666666668
17:48:39,484,66,23.333333333333332
17:48:40,495,65,23.333333333333332
17:48:41,495,65,23.333333333333332
17:48:42,495,65,23.333333333333332
17:48:43,496,65,23.333333333333332
17:48:44,495,65,23.333333333333332
17:48:45,495,65,23.333333333333332
17:48:46,498,64,23.333333333333332
17:48:47,498,64,23.333333333333332
17:48:48,500,63,20.0
17:48:49,589,62,20.0
17:48:50,607,61,23.333333333333332
17:48:51,619,61,20.0
17:48:52,502,61,20.0
17:48:53,499,60,20.0
17:48:54,494,59,20.0
17:48:55,497,58,16.666666666666664
17:48:56,491,57,20.0
17:48:57,485,57,20.0
17:48:58,490,57,16.666666666666664
17:48:59,517,56,16.666666666666664
17:49:0,508,55,16.666666666666664
17:49:1,453,55,16.666666666666664
17:49:2,604,55,16.666666666666664
17:49:3,626,55,16.666666666666664
17:49:4,506,55,16.666666666666664
17:49:5,495,55,13.333333333333334
17:49:6,494,55,13.333333333333334
17:49:7,494,55,13.333333333333334
17:49:8,498,55,13.333333333333334
17:49:9,485,55,13.333333333333334
17:49:10,489,54,13.333333333333334
17:49:11,507,54,13.333333333333334
17:49:12,507,54,13.333333333333334
17:49:13,627,54,13.333333333333334
17:49:14,497,54,13.333333333333334
17:49:15,492,54,13.333333333333334
17:49:17,491,53,13.333333333333334
17:49:18,492,53,13.333333333333334
17:49:19,493,53,13.333333333333334
17:49:20,483,53,13.333333333333334
17:49:21,496,53,13.333333333333334
17:49:22,511,53,13.333333333333334
17:49:23,461,54,10.0
17:49:24,451,54,10.0
17:49:25,517,56,10.0
17:49:26,490,57,10.0
17:49:27,480,58,13.333333333333334
17:49:28,492,58,16.666666666666664
17:49:29,504,58,16.666666666666664
17:49:30,504,58,20.0
17:49:31,504,59,23.333333333333332
17:49:32,508,59,26.666666666666668
17:49:33,527,58,30.0
17:49:34,501,58,30.0
17:49:35,501,57,30.0
17:49:36,501,56,30.0
17:49:37,502,55,33.33333333333333
17:49:38,502,55,36.666666666666664
17:49:39,501,56,36.666666666666664
17:49:40,501,56,36.666666666666664
17:49:41,500,55,40.0
17:49:42,495,56,43.333333333333336
17:49:43,495,57,46.666666666666664
17:49:44,530,60,50.0
17:49:45,502,62,53.333333333333336
17:49:46,515,63,53.333333333333336
17:49:47,515,63,53.333333333333336
17:49:48,508,63,56.666666666666664
17:49:49,497,63,60.0
17:49:50,499,63,60.0
17:49:51,523,62,60.0
17:49:52,528,61,60.0
17:49:53,518,61,60.0
17:49:54,510,60,60.0
17:49:55,527,59,60.0
17:49:56,535,58,56.666666666666664
17:49:57,521,58,53.333333333333336
17:49:58,497,59,50.0
17:49:59,478,59,46.666666666666664
17:50:0,497,60,43.333333333333336
17:50:1,521,61,40.0
17:50:2,506,61,36.666666666666664
17:50:3,493,61,33.33333333333333
17:50:4,498,61,30.0
17:50:5,504,61,30.0
17:50:6,513,61,30.0
17:50:7,514,61,26.666666666666668
17:50:8,495,60,23.333333333333332
17:50:9,473,60,23.333333333333332
17:50:10,469,59,23.333333333333332
17:50:11,484,59,20.0
17:50:12,519,59,20.0
17:50:13,507,59,16.666666666666664
17:50:14,512,59,13.333333333333334
17:50:15,496,59,13.333333333333334
17:50:16,475,58,16.666666666666664
17:50:17,564,58,16.666666666666664
17:50:18,603,58,13.333333333333334
17:50:19,515,58,13.333333333333334
17:50:20,498,58,10.0
17:50:21,495,58,10.0
17:50:22,496,57,10.0
17:50:23,499,56,10.0
17:50:24,494,55,10.0
17:50:25,487,54,10.0
17:50:26,508,54,10.0
17:50:27,540,54,10.0
17:50:28,503,54,10.0
17:50:29,495,53,10.0
17:50:30,492,53,10.0
17:50:31,495,52,10.0
17:50:32,478,52,10.0
17:50:33,522,52,13.333333333333334
17:50:34,455,52,13.333333333333334
17:50:35,647,51,13.333333333333334
17:50:36,494,51,13.333333333333334
17:50:37,492,51,13.333333333333334
17:50:38,494,51,13.333333333333334
17:50:39,482,51,13.333333333333334
17:50:40,503,51,13.333333333333334
17:50:41,595,51,13.333333333333334
17:50:42,495,51,13.333333333333334
17:50:43,493,51,16.666666666666664
17:50:44,501,51,20.0
17:50:45,487,51,16.666666666666664
17:50:46,507,51,20.0
17:50:47,461,51,23.333333333333332
17:50:48,549,51,20.0
17:50:49,494,51,20.0
17:50:50,492,51,20.0
17:50:52,488,52,23.333333333333332
17:50:53,495,52,23.333333333333332
17:50:54,472,52,23.333333333333332
17:50:55,478,52,23.333333333333332
17:50:56,494,52,26.666666666666668
17:50:57,461,52,30.0
17:50:58,592,53,30.0
17:50:59,546,53,30.0
17:51:0,494,53,33.33333333333333
17:51:1,492,53,36.666666666666664
17:51:2,489,54,36.666666666666664
17:51:3,493,53,40.0
17:51:4,486,53,43.333333333333336
17:51:5,475,54,43.333333333333336
17:51:6,508,54,46.666666666666664
17:51:7,479,54,43.333333333333336
17:51:8,456,54,43.333333333333336
17:51:9,704,54,43.333333333333336
17:51:10,494,54,43.333333333333336
17:51:11,490,54,43.333333333333336
17:51:12,485,54,43.333333333333336
17:51:13,492,53,43.333333333333336
17:51:14,497,54,43.333333333333336
17:51:15,496,55,46.666666666666664
17:51:16,489,56,50.0
17:51:17,487,57,50.0
17:51:18,490,57,50.0
17:51:19,494,57,53.333333333333336
17:51:20,497,58,53.333333333333336
17:51:21,499,59,53.333333333333336
17:51:22,499,60,53.333333333333336
17:51:23,499,60,50.0
17:51:24,498,59,50.0
17:51:25,507,58,53.333333333333336
17:51:26,517,56,53.333333333333336
17:51:27,511,56,53.333333333333336
17:51:28,505,57,53.333333333333336
17:51:29,498,57,50.0
17:51:30,517,56,50.0
17:51:31,558,55,46.666666666666664
17:51:32,541,55,43.333333333333336
17:51:33,511,55,43.333333333333336
17:51:34,499,55,43.333333333333336
17:51:35,500,56,40.0
17:51:36,498,56,36.666666666666664
17:51:37,497,56,36.666666666666664
17:51:38,497,56,33.33333333333333
17:51:39,499,56,33.33333333333333
17:51:40,498,56,33.33333333333333
17:51:41,498,57,33.33333333333333
17:51:42,498,57,33.33333333333333
17:51:43,498,57,33.33333333333333
17:51:44,498,57,33.33333333333333
17:51:45,493,58,33.33333333333333
17:51:46,492,58,30.0
17:51:47,488,58,26.666666666666668
17:51:48,486,58,23.333333333333332
17:51:49,484,58,20.0
17:51:50,489,58,16.666666666666664
17:51:51,500,59,16.666666666666664
17:51:52,497,61,16.666666666666664
17:51:53,492,61,16.666666666666664
17:51:54,493,61,20.0
17:51:55,492,61,20.0
17:51:56,494,61,16.666666666666664
17:51:57,499,61,20.0
17:51:58,503,61,20.0
17:51:59,503,60,20.0
17:52:0,506,59,23.333333333333332
17:52:1,510,57,23.333333333333332
17:52:2,505,56,23.333333333333332
17:52:3,518,55,23.333333333333332
17:52:4,543,55,26.666666666666668
17:52:5,569,56,26.666666666666668
17:52:6,573,55,26.666666666666668
17:52:7,523,55,26.666666666666668
17:52:8,538,56,26.666666666666668
17:52:9,507,57,30.0
17:52:10,504,59,33.33333333333333
17:52:11,504,59,33.33333333333333
17:52:12,501,60,36.666666666666664
17:52:13,506,60,36.666666666666664
17:52:14,501,60,36.666666666666664
17:52:15,508,61,40.0
17:52:16,507,61,40.0
17:52:17,503,61,40.0
17:52:18,518,60,43.333333333333336
17:52:19,513,60,43.333333333333336
17:52:20,494,59,46.666666666666664
17:52:21,494,59,50.0
17:52:22,490,60,46.666666666666664
17:52:23,490,60,43.333333333333336
17:52:24,486,59,43.333333333333336
17:52:25,499,59,40.0
17:52:26,513,60,36.666666666666664
17:52:27,514,60,36.666666666666664
17:52:28,507,60,33.33333333333333
17:52:29,492,60,36.666666666666664
17:52:30,480,59,33.33333333333333
17:52:31,495,59,30.0
17:52:32,484,59,30.0
17:52:33,479,60,33.33333333333333
17:52:35,481,59,30.0
17:52:36,477,59,30.0
17:52:37,513,58,30.0
17:52:38,605,58,30.0
17:52:39,581,58,26.666666666666668
17:52:40,583,58,23.333333333333332
17:52:41,542,59,23.333333333333332
17:52:42,477,60,23.333333333333332
17:52:43,490,59,23.333333333333332
17:52:44,522,59,26.666666666666668
17:52:45,599,58,23.333333333333332
17:52:46,552,58,23.333333333333332
17:52:47,497,58,23.333333333333332
17:52:48,497,58,23.333333333333332
17:52:49,499,57,23.333333333333332
17:52:50,492,56,23.333333333333332
17:52:51,516,55,20.0
17:52:52,519,54,16.666666666666664
17:52:53,539,54,16.666666666666664
17:52:54,495,53,16.666666666666664
17:52:55,493,52,16.666666666666664
17:52:56,502,52,16.666666666666664
17:52:57,504,52,20.0
17:52:58,550,53,23.333333333333332
