Time,Signal,BPM,Emotion,,,,,,,,
10:19:48,0,0,0,,10:26:10,0,0,0,,7.480693547,6.819284883
10:19:49,0,0,0,,10:26:11,0,0,0,,78.15747528,70.86360943
10:19:50,486,84,0,,10:26:12,499,69,0,,9.76968441,8.857951179
10:19:51,482,102,0,,10:26:14,536,69,0,,,
10:19:52,487,100,0,,10:26:15,504,69,0,,,
10:19:53,497,96,0,,10:26:16,502,69,0,,,
10:19:54,484,91,0,,10:26:17,504,69,0,,,
10:19:55,489,88,0,,10:26:18,505,69,0,,,
10:19:56,498,85,0,,10:26:19,539,69,0,,,
10:19:57,475,82,0,,10:26:20,511,69,0,,,
10:19:58,490,81,0,,10:26:21,501,69,0,,,
10:19:59,489,81,0,,10:26:22,538,69,0,,,
10:20:00,490,83,0,,10:26:23,502,69,0,,,
10:20:01,592,83,0,,10:26:24,513,69,0,,,
10:20:02,482,83,0,,10:26:25,500,69,0,,,
10:20:03,487,84,0,,10:26:26,528,69,0,,,
10:20:04,494,84,0,,10:26:27,511,69,0,,,
10:20:05,505,82,0,,10:26:28,502,69,0,,,
10:20:06,579,77,0,,10:26:29,502,31,0,,,
10:20:07,503,74,0,,10:26:30,498,31,0,,,
10:20:08,478,71,0,,10:26:31,501,32,0,,,
10:20:09,508,69,0,,10:26:32,500,33,0,,,
10:20:10,520,68,0,,10:26:33,499,35,0,,,
10:20:11,517,67,0,,10:26:34,501,37,0,,,
10:20:12,505,65,0,,10:26:35,485,43,0,,,
10:20:13,497,65,56.66666667,,10:26:36,504,47,0,,,
10:20:14,558,67,56.66666667,,10:26:37,497,51,0,,,
10:20:15,491,68,56.66666667,,10:26:38,492,55,0,,,
10:20:16,505,67,56.66666667,,10:26:39,496,60,0,,,
10:20:17,508,67,56.66666667,,10:26:40,499,66,0,,,
10:20:18,497,67,56.66666667,,10:26:41,509,67,0,,,
10:20:19,491,67,53.33333333,,10:26:42,491,69,0,,,
10:20:20,494,68,53.33333333,,10:26:43,504,70,0,,,
10:20:21,497,69,56.66666667,,10:26:44,493,69,0,,,
10:20:23,538,68,53.33333333,,10:26:45,498,67,0,,,
10:20:24,495,67,50,,10:26:46,500,68,0,,,
10:20:25,509,67,46.66666667,,10:26:47,499,69,70,,,
10:20:26,490,67,46.66666667,,10:26:48,500,68,66.66666667,,,
10:20:27,500,68,43.33333333,,10:26:49,511,68,63.33333333,,,
10:20:28,553,71,40,,10:26:50,520,68,60,,,
10:20:29,507,72,43.33333333,,10:26:51,564,65,56.66666667,,,
10:20:30,495,73,43.33333333,,10:26:52,558,64,53.33333333,,,
10:20:31,566,75,43.33333333,,10:26:53,503,64,53.33333333,,,
10:20:32,495,75,40,,10:26:54,488,64,50,,,
10:20:33,508,75,40,,10:26:55,508,64,46.66666667,,,
10:20:34,498,76,36.66666667,,10:26:56,492,64,46.66666667,,,
10:20:35,554,77,40,,10:26:57,501,64,43.33333333,,,
10:20:36,510,77,36.66666667,,10:26:58,498,65,43.33333333,,,
10:20:37,500,78,40,,10:26:59,551,66,40,,,
10:20:38,535,77,40,,10:27:00,571,66,36.66666667,,,
10:20:39,505,77,43.33333333,,10:27:01,546,66,36.66666667,,,
10:20:40,492,76,43.33333333,,10:27:02,503,66,36.66666667,,,
10:20:41,500,77,43.33333333,,10:27:03,482,66,33.33333333,,,
10:20:42,483,78,43.33333333,,10:27:04,494,65,33.33333333,,,
10:20:43,496,78,43.33333333,,10:27:05,511,65,30,,,
10:20:44,499,77,43.33333333,,10:27:06,517,64,30,,,
10:20:45,498,76,40,,10:27:07,515,64,26.66666667,,,
10:20:46,503,75,36.66666667,,10:27:08,496,63,26.66666667,,,
10:20:47,570,72,36.66666667,,10:27:09,489,62,23.33333333,,,
10:20:48,544,71,33.33333333,,10:27:10,492,63,23.33333333,,,
10:20:49,493,70,30,,10:27:11,494,62,23.33333333,,,
10:20:50,492,69,30,,10:27:12,489,62,23.33333333,,,
10:20:51,508,67,30,,10:27:13,488,61,26.66666667,,,
10:20:52,509,65,26.66666667,,10:27:14,491,61,23.33333333,,,
10:20:53,515,64,26.66666667,,10:27:15,487,61,23.33333333,,,
10:20:54,492,64,30,,10:27:16,556,63,20,,,
10:20:55,502,64,33.33333333,,10:27:17,508,65,23.33333333,,,
10:20:56,551,66,33.33333333,,10:27:18,498,67,23.33333333,,,
10:20:57,508,66,36.66666667,,10:27:19,490,72,26.66666667,,,
10:20:58,496,67,40,,10:27:20,497,74,26.66666667,,,
10:20:59,506,67,40,,10:27:21,498,76,30,,,
10:21:00,490,68,40,,10:27:22,498,77,33.33333333,,,
10:21:01,498,69,40,,10:27:23,499,77,33.33333333,,,
10:21:02,567,70,40,,10:27:24,500,75,36.66666667,,,
10:21:03,497,70,40,,10:27:25,514,74,33.33333333,,,
10:21:04,513,69,36.66666667,,10:27:26,560,69,33.33333333,,,
10:21:05,506,68,40,,10:27:27,506,68,33.33333333,,,
10:21:06,490,68,40,,10:27:28,514,67,36.66666667,,,
