Time,Signal,BPM,Emotion,,,,,,
14:47:14,0,0,0,0,0,0,,10.85868151,6.332070707
14:47:15,0,0,0,0,0,0,,,
14:47:16,518,0,0,551,82,0,,,
14:47:17,497,0,0,509,67,0,,,
14:47:18,503,0,0,497,67,0,,,
14:47:19,501,0,0,500,68,0,,,
14:47:20,528,0,0,492,68,0,,,
14:47:21,510,0,0,500,68,0,,,
14:47:22,513,0,0,501,67,0,,,
14:47:23,495,0,0,498,67,0,,,
14:47:24,515,37,0,500,66,0,,,
14:47:25,496,38,0,497,66,0,,,
14:47:26,497,38,0,498,65,0,,,
14:47:27,503,38,0,498,64,0,,,
14:47:28,534,39,0,498,63,0,,,
14:47:29,565,44,0,498,62,0,,,
14:47:30,488,46,0,501,61,0,,,
14:47:31,508,49,0,500,60,0,,,
14:47:32,498,52,0,498,60,0,,,
14:47:34,498,55,0,499,59,0,,,
14:47:35,500,59,0,501,59,0,,,
14:47:36,500,62,0,500,59,0,,,
14:47:37,501,66,0,500,59,0,,,
14:47:38,501,67,0,498,59,0,,,
14:47:39,500,65,0,495,59,0,,,
14:47:40,499,65,0,500,59,30,,,
14:47:41,501,64,0,502,59,30,,,
14:47:42,502,63,0,500,59,26.66666667,,,
14:47:43,502,62,0,500,59,26.66666667,,,
14:47:44,504,61,0,496,58,30,,,
14:47:45,516,61,0,497,58,33.33333333,,,
14:47:46,537,62,0,503,58,30,,,
14:47:47,502,62,0,499,58,30,,,
14:47:48,503,63,0,500,58,30,,,
14:47:49,502,65,0,507,58,30,,,
14:47:50,504,66,0,509,58,26.66666667,,,
14:47:51,505,66,0,514,58,26.66666667,,,
14:47:52,510,67,0,511,57,26.66666667,,,
14:47:53,521,67,0,503,57,26.66666667,,,
14:47:54,531,67,0,499,58,26.66666667,,,
14:47:55,506,68,0,502,58,26.66666667,,,
14:47:56,500,68,53.33333333,560,57,30,,,
14:47:57,500,69,53.33333333,538,57,30,,,
14:47:58,499,67,50,503,57,30,,,
14:47:59,502,67,50,501,56,30,,,
14:48:00,500,66,50,498,56,30,,,
14:48:01,503,65,53.33333333,499,56,30,,,
14:48:02,527,67,53.33333333,497,57,30,,,
14:48:03,527,66,56.66666667,499,57,26.66666667,,,
14:48:04,532,65,60,498,57,26.66666667,,,
14:48:05,528,63,63.33333333,501,57,26.66666667,,,
14:48:06,525,61,63.33333333,500,57,26.66666667,,,
14:48:07,517,61,60,500,58,30,,,
14:48:08,509,61,60,499,58,30,,,
14:48:09,508,62,56.66666667,501,58,30,,,
14:48:10,502,64,56.66666667,502,58,26.66666667,,,
14:48:11,503,63,53.33333333,503,58,20,,,
14:48:12,504,64,53.33333333,500,58,20,,,
14:48:13,504,64,50,499,58,20,,,
14:48:14,504,63,50,498,58,16.66666667,,,
14:48:15,503,63,46.66666667,498,58,16.66666667,,,
14:48:16,505,63,46.66666667,498,58,16.66666667,,,
14:48:17,503,62,43.33333333,500,58,16.66666667,,,
14:48:18,501,62,43.33333333,497,58,13.33333333,,,
14:48:19,501,61,46.66666667,494,58,13.33333333,,,
14:48:20,517,62,43.33333333,495,58,13.33333333,,,
14:48:21,504,63,46.66666667,498,58,13.33333333,,,
14:48:22,507,63,50,499,59,13.33333333,,,
14:48:23,510,63,50,501,60,13.33333333,,,
14:48:24,507,64,46.66666667,500,59,13.33333333,,,
14:48:25,503,64,46.66666667,502,60,16.66666667,,,
14:48:26,502,65,46.66666667,501,60,13.33333333,,,
14:48:27,501,65,46.66666667,501,60,13.33333333,,,
14:48:28,503,65,43.33333333,500,61,16.66666667,,,
14:48:29,504,63,43.33333333,503,61,20,,,
14:48:30,506,62,43.33333333,502,61,23.33333333,,,
14:48:31,502,62,46.66666667,502,61,23.33333333,,,
14:48:32,502,62,43.33333333,501,61,23.33333333,,,
14:48:33,503,62,40,502,61,23.33333333,,,
14:48:34,507,63,40,502,61,23.33333333,,,
14:48:35,548,63,40,502,61,23.33333333,,,
14:48:36,502,63,40,501,61,20,,,
14:48:37,508,64,40,499,60,20,,,
14:48:38,510,64,40,499,60,20,,,
