Time,Signal,BPM,Emotion,,,,,,,
10:39:40,0,0,0,10:50:53,0,0,0,,12.1210922,8.539205156
10:39:41,0,0,0,10:50:54,0,0,0,,,
10:39:42,494,84,0,10:50:55,510,68,0,,,
10:39:43,492,89,0,10:50:56,498,68,0,,,
10:39:44,491,88,0,10:50:57,498,68,0,,,
10:39:45,543,87,0,10:50:58,492,68,0,,,
10:39:46,506,87,0,10:50:59,544,68,0,,,
10:39:47,531,88,0,10:51:00,516,68,0,,,
10:39:48,485,89,0,10:51:01,495,68,0,,,
10:39:49,483,90,0,10:51:02,556,83,0,,,
10:39:50,487,90,0,10:51:03,507,83,0,,,
10:39:51,547,89,0,10:51:04,496,83,0,,,
10:39:52,484,88,0,10:51:05,558,82,0,,,
10:39:53,494,86,0,10:51:06,501,79,0,,,
10:39:54,495,83,0,10:51:07,507,78,0,,,
10:39:55,511,81,0,10:51:08,498,77,0,,,
10:39:56,493,78,0,10:51:09,499,76,0,,,
10:39:57,497,78,0,10:51:10,496,74,0,,,
10:39:58,503,80,0,10:51:11,498,72,0,,,
10:39:59,544,83,0,10:51:12,498,70,0,,,
10:40:00,487,83,0,10:51:13,495,68,0,,,
10:40:01,506,82,0,10:51:14,495,65,0,,,
10:40:02,508,81,0,10:51:15,495,64,0,,,
10:40:03,494,79,0,10:51:16,494,63,0,,,
10:40:04,490,77,0,10:51:17,498,62,0,,,
10:40:05,491,74,0,10:51:18,505,61,0,,,
10:40:06,493,71,0,10:51:19,497,60,0,,,
10:40:07,499,69,0,10:51:20,494,59,0,,,
10:40:08,499,67,43.33333333,10:51:21,489,59,0,,,
10:40:09,497,64,43.33333333,10:51:22,528,60,0,,,
10:40:10,570,64,40,10:51:23,507,60,0,,,
10:40:11,494,65,40,10:51:24,493,60,0,,,
10:40:12,515,65,40,10:51:25,492,60,0,,,
10:40:13,497,66,43.33333333,10:51:26,494,60,0,,,
10:40:14,498,66,40,10:51:27,493,61,0,,,
