Time,Signal,BPM,Emotion
12:58:23,0,0,0.0
12:58:24,0,0,0.0
12:58:25,493,91,0.0
12:58:26,487,83,0.0
12:58:27,478,84,0.0
12:58:28,583,88,0.0
12:58:29,486,89,0.0
12:58:30,476,91,0.0
12:58:31,490,92,0.0
12:58:32,579,92,0.0
12:58:33,511,92,0.0
12:58:34,543,91,0.0
12:58:35,491,90,0.0
12:58:36,588,87,0.0
12:58:37,520,87,0.0
12:58:38,497,87,0.0
12:58:39,463,87,0.0
12:58:40,487,87,0.0
12:58:41,447,87,0.0
12:58:42,475,85,0.0
12:58:43,497,85,0.0
12:58:44,535,83,46.666666666666664
12:58:45,522,82,46.666666666666664
12:58:46,509,82,46.666666666666664
12:58:47,526,82,46.666666666666664
12:58:48,492,81,46.666666666666664
12:58:49,492,80,46.666666666666664
12:58:50,492,78,50.0
12:58:51,523,76,50.0
12:58:52,488,76,46.666666666666664
12:58:53,491,77,50.0
12:58:54,474,76,53.333333333333336
12:58:55,494,75,56.666666666666664
12:58:56,502,75,56.666666666666664
12:58:57,507,68,53.333333333333336
12:58:58,507,71,53.333333333333336
12:58:59,525,76,53.333333333333336
12:59:0,511,76,56.666666666666664
12:59:1,553,76,53.333333333333336
12:59:2,491,77,56.666666666666664
12:59:3,553,87,56.666666666666664
12:59:4,481,88,60.0
12:59:5,493,86,56.666666666666664
12:59:6,498,82,60.0
12:59:7,517,81,56.666666666666664
12:59:8,474,80,56.666666666666664
12:59:9,491,79,60.0
12:59:10,461,78,60.0
12:59:11,483,80,63.33333333333333
12:59:12,562,81,60.0
12:59:13,513,81,60.0
12:59:14,485,82,60.0
12:59:15,498,81,60.0
12:59:16,498,80,56.666666666666664
12:59:17,482,78,56.666666666666664
12:59:18,485,77,56.666666666666664
12:59:19,497,78,56.666666666666664
12:59:20,492,78,56.666666666666664
12:59:21,500,77,56.666666666666664
12:59:22,509,78,56.666666666666664
12:59:23,603,78,56.666666666666664
12:59:24,491,77,56.666666666666664
12:59:25,492,75,53.333333333333336
12:59:26,482,75,50.0
12:59:27,452,75,53.333333333333336
12:59:28,492,76,53.333333333333336
12:59:29,491,76,50.0
12:59:30,524,75,50.0
12:59:31,611,74,53.333333333333336
12:59:32,614,73,50.0
12:59:33,601,72,53.333333333333336
12:59:34,593,71,50.0
12:59:35,554,68,50.0
12:59:36,519,64,46.666666666666664
12:59:37,491,64,46.666666666666664
12:59:38,624,67,46.666666666666664
12:59:39,463,67,46.666666666666664
12:59:40,483,68,46.666666666666664
12:59:41,508,69,46.666666666666664
12:59:42,483,70,43.333333333333336
12:59:43,500,70,40.0
12:59:44,497,70,36.666666666666664
12:59:45,496,70,36.666666666666664
12:59:46,608,68,36.666666666666664
12:59:47,473,67,36.666666666666664
12:59:48,525,67,36.666666666666664
12:59:49,479,68,36.666666666666664
12:59:50,603,70,33.33333333333333
12:59:51,517,72,33.33333333333333
12:59:52,497,74,33.33333333333333
12:59:53,570,76,30.0
12:59:54,481,76,33.33333333333333
