Time,Signal,BPM,Emotion
18:5:27,0,0,0.0
18:5:28,0,0,0.0
18:5:29,578,79,0.0
18:5:30,503,81,0.0
18:5:31,491,81,0.0
18:5:32,599,81,0.0
18:5:33,498,81,0.0
18:5:34,492,81,0.0
18:5:35,491,80,0.0
18:5:36,492,78,0.0
18:5:37,522,75,0.0
18:5:38,499,74,0.0
18:5:39,507,76,0.0
18:5:40,513,83,0.0
18:5:41,508,85,0.0
18:5:42,505,83,0.0
18:5:43,503,83,0.0
18:5:44,493,87,0.0
18:5:45,494,88,0.0
18:5:46,498,87,0.0
18:5:47,519,83,0.0
18:5:48,562,74,0.0
18:5:49,495,71,0.0
18:5:50,500,71,0.0
18:5:51,501,70,0.0
18:5:52,501,69,0.0
18:5:53,513,67,60.0
18:5:54,498,66,63.33333333333333
18:5:55,504,66,63.33333333333333
18:5:56,533,67,63.33333333333333
18:5:57,502,68,63.33333333333333
18:5:58,510,67,66.66666666666666
18:5:59,503,67,70.0
18:6:0,500,67,66.66666666666666
18:6:1,497,68,66.66666666666666
18:6:2,496,68,66.66666666666666
18:6:3,503,67,66.66666666666666
18:6:4,504,66,66.66666666666666
18:6:5,560,66,63.33333333333333
18:6:6,504,66,63.33333333333333
18:6:7,497,67,60.0
18:6:8,501,68,60.0
18:6:9,502,68,56.666666666666664
18:6:10,502,68,53.333333333333336
18:6:11,501,68,53.333333333333336
18:6:12,521,69,50.0
18:6:13,558,68,53.333333333333336
18:6:14,556,66,53.333333333333336
18:6:15,556,65,53.333333333333336
18:6:17,533,64,50.0
18:6:18,489,64,50.0
18:6:19,506,64,50.0
18:6:20,498,65,50.0
18:6:21,498,65,46.666666666666664
18:6:22,498,65,46.666666666666664
18:6:23,498,65,46.666666666666664
18:6:24,554,66,46.666666666666664
18:6:25,578,66,40.0
18:6:26,531,66,40.0
18:6:27,499,65,40.0
18:6:28,500,63,40.0
18:6:29,498,61,36.666666666666664
18:6:30,500,61,33.33333333333333
18:6:31,567,61,33.33333333333333
18:6:32,484,61,36.666666666666664
18:6:33,511,62,36.666666666666664
18:6:34,499,62,36.666666666666664
18:6:35,500,64,36.666666666666664
18:6:36,498,65,36.666666666666664
18:6:37,499,66,36.666666666666664
18:6:38,498,66,40.0
18:6:39,498,66,43.333333333333336
